DATE,OPEN,HIGH,LOW,CLOSE ,VOLUME
5/25/2001,75.9174,76.6401,75.3586,75.8404,11066536
5/28/2001,75.9271,77.4495,75.9271,76.8521,6761054
5/29/2001,76.8906,78.4227,76.5052,77.7385,7931678
5/30/2001,78.2396,78.3745,75.1466,75.4549,10134298
5/31/2001,75.0792,75.8885,73.8073,75.5995,7946942
6/1/2001,75.7825,75.9753,72.863,73.2773,7981074
6/4/2001,73.6146,73.7977,71.543,72.2174,5767516
6/5/2001,71.832,72.8052,71.3984,71.8706,5254744
6/6/2001,72.2464,72.4583,70.1169,70.4445,7341282
6/7/2001,70.724,70.8107,68.8258,70.1844,9764434
6/8/2001,70.3385,71.9669,70.2133,71.3792,9330680
6/11/2001,71.3021,71.7742,70.5505,71.437,6926742
6/12/2001,71.2828,71.5526,70.8203,71.3117,3578440
6/13/2001,71.4948,72.6318,71.3117,72.3427,5962144
6/14/2001,72.044,72.9016,69.7797,70.1266,12068218
6/15/2001,69.7797,69.7797,68.0453,68.9125,8799486
6/18/2001,68.4307,68.7969,65.3474,65.6365,10275904
6/19/2001,65.5208,67.0625,65.4534,66.8409,6766796
6/20/2001,64.5573,67.6406,64.5573,66.4555,4834474
6/21/2001,66.4362,67.5346,65.5208,65.7328,8750890
6/22/2001,65.9063,66.2531,64.7885,65.9833,5778014
6/25/2001,65.6557,66.1182,64.6633,65.8003,4580824
6/26/2001,65.6172,67.2263,65.3281,66.8312,5262296
6/27/2001,66.6771,69.3557,66.0604,69.0089,8212924
6/28/2001,68.9896,70.618,68.7005,69.8182,7141074
6/29/2001,69.8568,71.9669,69.3943,71.013,4991970
7/2/2001,71.4562,76.1198,67.8911,69.1148,2614624
7/3/2001,67.3708,67.8333,62.4375,63.4781,12190578
7/4/2001,62.2448,63.8828,62.0521,62.8615,7319042
7/5/2001,63.9792,64.8271,63.218,63.931,5203536
7/6/2001,62.4375,63.4589,61.8594,62.7651,3177692
7/9/2001,62.4375,63.5938,60.9151,63.0542,6653006
7/10/2001,63.8828,64.538,63.0156,64.3068,4626978
7/11/2001,63.9792,65.6654,63.4203,64.8656,2967162
7/12/2001,65.2318,66.0411,64.9812,65.5594,3237932
7/13/2001,65.8581,67.5924,64.037,66.2917,5295094
7/16/2001,65.3089,65.9063,63.5938,63.9792,3978142
7/17/2001,63.401,64.8271,62.6495,64.1719,2999220
7/18/2001,64.3742,64.644,62.6302,62.9674,3850182
7/19/2001,62.6302,62.9096,61.8594,62.4568,3132446
7/20/2001,62.8229,62.8422,59.8359,60.4911,4745038
7/23/2001,59.7396,60.8958,57.8125,60.3177,360978
7/24/2001,58.0438,60.9922,58.0438,60.5779,2574678
7/25/2001,60.6068,60.7898,59.4891,59.8745,3178188
7/26/2001,59.3542,60.2021,58.3521,58.7471,5645172
7/27/2001,58.487,59.3445,57.8125,58.9784,3324948
7/30/2001,58.8628,60.5104,58.4484,60.2888,3891536
7/31/2001,60.6549,61.8112,58.5159,61.4451,10281024
8/1/2001,61.8497,62.1003,60.1732,60.7995,4865442
8/2/2001,60.5104,61.8401,59.6529,61.2427,4222100
8/3/2001,61.1849,61.8786,59.7974,61.1271,8901656
8/6/2001,61.0885,62.5628,60.7513,62.2833,4735202
8/7/2001,61.869,63.5938,61.869,63.4299,6092890
8/8/2001,62.6109,63.7865,62.1581,63.2951,4631320
8/9/2001,62.8229,65.4727,62.6302,64.7115,6046012
8/10/2001,65.1354,65.8003,64.3839,65.4823,6582628
8/13/2001,65.4245,65.6943,62.5531,62.9289,5151360
8/14/2001,63.5359,63.5359,61.5992,61.869,7655830
8/16/2001,62.2448,63.8732,61.8594,62.9964,7469046
8/17/2001,63.0156,63.3625,60.944,61.1945,7018538
8/20/2001,60.7031,62.0328,60.6164,61.2523,5134752
8/21/2001,61.2813,62.187,61.2813,61.4547,4806888
8/23/2001,61.6474,65.1354,60.9151,61.0885,4518296
8/24/2001,61.2813,61.3294,60.549,60.732,3877330
8/27/2001,61.2813,61.6474,60.337,60.7609,3401562
8/28/2001,60.4911,61.2234,60.1635,60.2888,2677554
8/29/2001,60.125,61.7148,60.1057,61.3583,8997892
8/30/2001,61.1367,61.9365,60.7031,61.4932,5137100
8/31/2001,61.3583,61.474,59.6529,59.9612,7298806
9/3/2001,59.9323,60.7031,59.9323,60.2599,2996126
9/4/2001,60.2984,60.9729,59.4794,60.5779,4143762
9/5/2001,60.3177,60.8958,59.701,59.9612,2186994
9/6/2001,61.2813,61.2813,59.6432,60.0479,3143556
9/7/2001,60.4526,60.4526,58.9784,59.2964,3792010
9/10/2001,59.1615,59.624,58.4388,58.6122,2343144
9/11/2001,58.8724,59.1615,58.3906,58.7857,2718572
9/12/2001,56.849,58.1016,53.1971,57.4078,6444762
9/13/2001,57.8125,58.3906,55.5096,55.9432,3742730
9/14/2001,56.213,56.213,50.3547,50.3547,5852554
9/17/2001,48.6107,51.1641,46.4427,50.6148,18538036
9/18/2001,50.1042,53.6693,48.1771,48.7841,16125380
